Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99938,1
3C,4C,0.99796,1
3C,5H,0.99247,1
4C,6C,0.99873,1
4C,7C,0.99875,1
6C,8C,0.99913,1
6C,9H,0.99378,1
7C,10C,0.99909,1
7C,11H,0.99334,1
8C,12C,0.99888,1
8C,13H,0.99344,1
10C,12C,0.99894,1
10C,14H,0.99349,1
12C,15H,0.99337,1
16C,17C,0.99976,1
16C,18H,0.99303,1
16C,19H,0.99300,1
17C,20C,0.99981,1
20C,21H,0.99283,1
24O,42N,0.99413,1
25O,43N,0.99464,1
26C,27C,0.99646,1
26C,31C,0.99870,1
26C,42N,0.99915,1
27C,33C,0.99866,1
27C,43N,0.99916,1
28C,35C,0.99931,1
28C,41C,0.99480,1
28C,43N,0.99834,1
29C,30C,0.99930,1
29C,42N,0.99838,1
29C,44C,0.99474,1
30C,32C,0.99875,1
30C,45H,0.99377,1
31C,32C,0.99816,1
31C,36C,0.99849,1
32C,37C,0.99859,1
33C,34C,0.99819,1
33C,38C,0.99851,1
34C,35C,0.99874,1
34C,39C,0.99861,1
35C,40H,0.99376,1
36C,47C,0.99929,1
36C,48H,0.99372,1
37C,46C,0.99927,1
37C,49H,0.99345,1
38C,52C,0.99928,1
38C,55H,0.99369,1
39C,53C,0.99926,1
39C,54H,0.99342,1
41C,60C,0.99097,1
41C,61C,0.99227,1
41C,75H,0.99289,1
44C,58C,0.99094,1
44C,59C,0.99233,1
44C,74H,0.99291,1
46C,47C,0.99856,1
46C,50H,0.99344,1
47C,51H,0.99348,1
52C,53C,0.99858,1
52C,56H,0.99348,1
53C,57H,0.99345,1
58C,62H,0.99214,1
58C,63H,0.99233,1
58C,64H,0.99196,1
59C,65H,0.99227,1
59C,66H,0.99198,1
59C,67H,0.99216,1
60C,68H,0.99236,1
60C,69H,0.99198,1
60C,70H,0.99215,1
61C,71H,0.99220,1
61C,72H,0.99227,1
61C,73H,0.99201,1
