Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99938,1
3C,4C,0.99800,1
3C,5H,0.99241,1
4C,6C,0.99871,1
4C,7C,0.99874,1
6C,8C,0.99913,1
6C,9H,0.99362,1
7C,10C,0.99909,1
7C,11H,0.99334,1
8C,12C,0.99887,1
8C,13H,0.99345,1
10C,12C,0.99894,1
10C,14H,0.99348,1
12C,15H,0.99336,1
16C,17C,0.99976,1
16C,18H,0.99295,1
16C,19H,0.99300,1
17C,20C,0.99982,1
20C,21H,0.99295,1
24O,42N,0.99415,1
25O,43N,0.99440,1
26C,27C,0.99621,1
26C,31C,0.99879,1
26C,42N,0.99917,1
27C,33C,0.99877,1
27C,43N,0.99917,1
28C,35C,0.99926,1
28C,41C,0.99218,1
28C,43N,0.99812,1
29C,30C,0.99926,1
29C,42N,0.99813,1
29C,44C,0.99199,1
30C,32C,0.99875,1
30C,45H,0.99402,1
31C,32C,0.99828,1
31C,36C,0.99850,1
32C,37C,0.99861,1
33C,34C,0.99828,1
33C,38C,0.99849,1
34C,35C,0.99875,1
34C,39C,0.99861,1
35C,40H,0.99403,1
36C,47C,0.99928,1
36C,48H,0.99363,1
37C,46C,0.99925,1
37C,49H,0.99343,1
38C,52C,0.99928,1
38C,55H,0.99361,1
39C,53C,0.99926,1
39C,54H,0.99343,1
41C,61C,0.99145,1
41C,62C,0.99040,1
41C,63C,0.99094,1
44C,58C,0.99041,1
44C,59C,0.99083,1
44C,60C,0.99144,1
46C,47C,0.99856,1
46C,50H,0.99344,1
47C,51H,0.99348,1
52C,53C,0.99856,1
52C,56H,0.99347,1
53C,57H,0.99344,1
58C,64H,0.99216,1
58C,65H,0.99299,1
58C,66H,0.99198,1
59C,70H,0.99233,1
59C,71H,0.99209,1
59C,72H,0.99218,1
60C,67H,0.99201,1
60C,68H,0.99219,1
60C,69H,0.99352,1
61C,73H,0.99340,1
61C,74H,0.99200,1
61C,75H,0.99223,1
62C,76H,0.99295,1
62C,77H,0.99198,1
62C,78H,0.99215,1
63C,79H,0.99214,1
63C,80H,0.99235,1
63C,81H,0.99210,1
