Atom1,Atom2,Connectivity,Nearest_Integer
1O,2C,0.99940,1
1O,23Si,0.98142,1
2C,3C,0.99802,1
2C,4H,0.99224,1
3C,5C,0.99873,1
3C,6C,0.99875,1
5C,7C,0.99913,1
5C,8H,0.99368,1
6C,9C,0.99909,1
6C,10H,0.99332,1
7C,11C,0.99888,1
7C,12H,0.99345,1
9C,11C,0.99893,1
9C,13H,0.99348,1
11C,14H,0.99335,1
15C,16C,0.99976,1
15C,17H,0.99297,1
15C,18H,0.99295,1
16C,19C,0.99981,1
19C,20H,0.99280,1
19C,23Si,0.99398,1
24O,26N,0.99396,1
25O,47N,0.99416,1
26N,28C,0.99878,1
26N,33C,0.99894,1
27C,28C,0.99916,1
27C,31C,0.99864,1
27C,36C,0.99502,1
28C,49C,0.99637,1
29C,30H,0.99365,1
29C,31C,0.99918,1
29C,33C,0.99896,1
31C,38C,0.99404,1
32C,33C,0.99671,1
32C,68C,0.99884,1
32C,72C,0.99886,1
34C,35H,0.99236,1
34C,38C,0.99169,1
34C,41C,0.98721,1
34C,42C,0.98948,1
36C,37H,0.99290,1
36C,41C,0.98482,1
36C,42C,0.98833,1
38C,39H,0.99182,1
38C,40H,0.99183,1
41C,45C,0.99225,1
41C,46C,0.99278,1
42C,43H,0.99227,1
42C,44H,0.99294,1
45C,78H,0.99193,1
45C,79H,0.99192,1
45C,80H,0.99238,1
46C,81H,0.99245,1
46C,82H,0.99189,1
46C,83H,0.99190,1
47N,49C,0.99882,1
47N,54C,0.99893,1
48C,49C,0.99915,1
48C,52C,0.99865,1
48C,57C,0.99502,1
50C,51H,0.99362,1
50C,52C,0.99917,1
50C,54C,0.99899,1
52C,59C,0.99404,1
53C,54C,0.99674,1
53C,84C,0.99885,1
53C,88C,0.99888,1
55C,56H,0.99236,1
55C,59C,0.99175,1
55C,62C,0.98707,1
55C,63C,0.98951,1
57C,58H,0.99297,1
57C,62C,0.98502,1
57C,63C,0.98833,1
59C,60H,0.99182,1
59C,61H,0.99184,1
62C,66C,0.99223,1
62C,67C,0.99282,1
63C,64H,0.99222,1
63C,65H,0.99292,1
66C,94H,0.99192,1
66C,95H,0.99189,1
66C,96H,0.99235,1
67C,97H,0.99242,1
67C,98H,0.99189,1
67C,99H,0.99190,1
68C,69H,0.99374,1
68C,70C,0.99905,1
70C,71H,0.99341,1
70C,74C,0.99897,1
72C,73H,0.99348,1
72C,75C,0.99903,1
74C,75C,0.99898,1
74C,77H,0.99340,1
75C,76H,0.99341,1
84C,85H,0.99368,1
84C,86C,0.99904,1
86C,87H,0.99341,1
86C,90C,0.99896,1
88C,89H,0.99349,1
88C,91C,0.99903,1
90C,91C,0.99898,1
90C,93H,0.99337,1
91C,92H,0.99341,1
