Atom1,Atom2,Connectivity,Nearest_Integer
1O,2C,0.99938,1
1O,23Si,0.98074,1
2C,3C,0.99799,1
2C,4H,0.99246,1
3C,5C,0.99874,1
3C,6C,0.99875,1
5C,7C,0.99913,1
5C,8H,0.99373,1
6C,9C,0.99909,1
6C,10H,0.99332,1
7C,11C,0.99889,1
7C,12H,0.99351,1
9C,11C,0.99893,1
9C,13H,0.99347,1
11C,14H,0.99336,1
15C,16C,0.99976,1
15C,17H,0.99297,1
15C,18H,0.99314,1
16C,19C,0.99981,1
19C,20H,0.99269,1
19C,23Si,0.99275,1
24O,26N,0.99428,1
25O,47N,0.99407,1
26N,28C,0.99880,1
26N,33C,0.99892,1
27C,28C,0.99917,1
27C,31C,0.99865,1
27C,36C,0.99505,1
28C,49C,0.99639,1
29C,30H,0.99364,1
29C,31C,0.99918,1
29C,33C,0.99897,1
31C,38C,0.99405,1
32C,33C,0.99681,1
32C,68C,0.99888,1
32C,72C,0.99888,1
34C,35H,0.99236,1
34C,38C,0.99163,1
34C,41C,0.98710,1
34C,42C,0.98951,1
36C,37H,0.99290,1
36C,41C,0.98490,1
36C,42C,0.98834,1
38C,39H,0.99184,1
38C,40H,0.99183,1
41C,45C,0.99225,1
41C,46C,0.99277,1
42C,43H,0.99224,1
42C,44H,0.99295,1
45C,77H,0.99193,1
45C,78H,0.99190,1
45C,79H,0.99237,1
46C,80H,0.99244,1
46C,81H,0.99186,1
46C,82H,0.99191,1
47N,49C,0.99877,1
47N,54C,0.99891,1
48C,49C,0.99918,1
48C,52C,0.99865,1
48C,57C,0.99506,1
50C,51H,0.99363,1
50C,52C,0.99918,1
50C,54C,0.99895,1
52C,59C,0.99407,1
53C,54C,0.99681,1
53C,83C,0.99886,1
53C,87C,0.99887,1
55C,56H,0.99237,1
55C,59C,0.99169,1
55C,62C,0.98717,1
55C,63C,0.98951,1
57C,58H,0.99290,1
57C,62C,0.98481,1
57C,63C,0.98832,1
59C,60H,0.99184,1
59C,61H,0.99183,1
62C,66C,0.99229,1
62C,67C,0.99277,1
63C,64H,0.99223,1
63C,65H,0.99292,1
66C,92H,0.99192,1
66C,93H,0.99193,1
66C,94H,0.99240,1
67C,95H,0.99241,1
67C,96H,0.99186,1
67C,97H,0.99191,1
68C,69H,0.99378,1
68C,70C,0.99908,1
70C,71H,0.99362,1
70C,74C,0.99901,1
72C,73H,0.99352,1
72C,75C,0.99907,1
74C,75C,0.99902,1
74C,99Cl,0.99377,1
75C,76H,0.99363,1
83C,84H,0.99380,1
83C,85C,0.99907,1
85C,86H,0.99362,1
85C,89C,0.99901,1
87C,88H,0.99356,1
87C,90C,0.99907,1
89C,90C,0.99902,1
89C,98Cl,0.99401,1
90C,91H,0.99362,1
