Atom1,Atom2,Connectivity,Nearest_Integer
1O,2C,0.99944,1
1O,23Si,0.96860,1
2C,3C,0.99805,1
2C,4H,0.99200,1
3C,5C,0.99870,1
3C,6C,0.99873,1
5C,7C,0.99914,1
5C,8H,0.99364,1
6C,9C,0.99908,1
6C,10H,0.99331,1
7C,11C,0.99887,1
7C,12H,0.99356,1
9C,11C,0.99894,1
9C,13H,0.99348,1
11C,14H,0.99335,1
15C,16C,0.99977,1
15C,17H,0.99301,1
15C,18H,0.99297,1
16C,19C,0.99980,1
19C,20H,0.99290,1
19C,23Si,0.99345,1
24O,26N,0.99465,1
25O,56N,0.99364,1
26N,28C,0.99878,1
26N,33C,0.99893,1
27C,28C,0.99918,1
27C,31C,0.99865,1
27C,36C,0.99507,1
28C,58C,0.99636,1
29C,30H,0.99364,1
29C,31C,0.99917,1
29C,33C,0.99896,1
31C,44C,0.99405,1
32C,33C,0.99678,1
32C,38C,0.99884,1
32C,42C,0.99887,1
34C,35H,0.99236,1
34C,44C,0.99163,1
34C,47C,0.98714,1
34C,49C,0.98951,1
36C,37H,0.99286,1
36C,47C,0.98490,1
36C,49C,0.98827,1
38C,39H,0.99379,1
38C,40C,0.99908,1
40C,41H,0.99363,1
40C,48C,0.99900,1
42C,43H,0.99351,1
42C,53C,0.99906,1
44C,45H,0.99184,1
44C,46H,0.99183,1
47C,52C,0.99223,1
47C,55C,0.99281,1
48C,53C,0.99902,1
48C,87Cl,0.99385,1
49C,50H,0.99223,1
49C,51H,0.99294,1
52C,88H,0.99193,1
52C,89H,0.99192,1
52C,90H,0.99237,1
53C,54H,0.99363,1
55C,91H,0.99246,1
55C,92H,0.99190,1
55C,93H,0.99190,1
56N,58C,0.99879,1
56N,63C,0.99891,1
57C,58C,0.99916,1
57C,61C,0.99865,1
57C,66C,0.99502,1
59C,60H,0.99366,1
59C,61C,0.99919,1
59C,63C,0.99896,1
61C,74C,0.99411,1
62C,63C,0.99680,1
62C,68C,0.99886,1
62C,72C,0.99885,1
64C,65H,0.99237,1
64C,74C,0.99178,1
64C,77C,0.98706,1
64C,79C,0.98946,1
66C,67H,0.99296,1
66C,77C,0.98490,1
66C,79C,0.98841,1
68C,69H,0.99381,1
68C,70C,0.99908,1
70C,71H,0.99363,1
70C,78C,0.99901,1
72C,73H,0.99347,1
72C,83C,0.99907,1
74C,75H,0.99183,1
74C,76H,0.99184,1
77C,82C,0.99226,1
77C,85C,0.99274,1
78C,83C,0.99901,1
78C,86Cl,0.99390,1
79C,80H,0.99226,1
79C,81H,0.99295,1
82C,94H,0.99193,1
82C,95H,0.99191,1
82C,96H,0.99238,1
83C,84H,0.99363,1
85C,97H,0.99244,1
85C,98H,0.99186,1
85C,99H,0.99192,1
